no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
4,Shiya,Romero,Freshman,P/OF,20,12,1,10,0,8,69,193,190,159,69,29,2.94,22,16.13,Yavapai,1
7,Sydney,Jones,Sophomore,C/UTL,1,0,0,0,0,0,0.1,1,3,3,2,1,21,1,63,Yavapai,1
11,Caitlyn,Collier,Sophomore,P,22,21,5,6,0,13,123,136,100,70,54,87,4.95,16,3.98,Connors State,1
7,Brooke,Wyatt,Freshman,P,22,20,4,2,0,8,99.1,121,87,65,45,57,4.02,9,4.58,Connors State,1
8,Meliah,Hunter,Sophomore,P,21,5,0,2,0,1,47.1,67,42,31,9,19,2.81,2,4.58,Connors State,1
14,Jadyn,Muns,Freshman,IF,8,0,0,1,0,0,10.1,20,16,7,4,3,2.03,1,4.74,Connors State,1
17,Payton,Shelton,Sophomore,P,2,1,0,1,0,1,9,8,12,7,10,8,6.22,1,5.44,Connors State,1
16,Alyssa,Opgenorth,Freshman,P,3,1,0,2,0,0,3.2,14,20,13,3,3,5.73,3,24.82,Connors State,1
17,Makenzie,Martin,Freshman,RHP/1B,30,26,18,9,0,19,157.2,173,116,81,39,114,5.06,22,3.6,Eastern Oklahoma State,1
8,Chloe,Brown,Freshman,RHP,31,25,15,8,0,16,139.1,174,120,88,66,87,4.37,18,4.42,Eastern Oklahoma State,1
15,Khloe,Haile,Freshman,RHP/UT,5,1,0,1,0,0,8,12,10,8,6,4,3.5,2,7,Eastern Oklahoma State,1
19,Brinn,Brassfield,Freshman,RHP,3,0,0,1,0,0,7.1,13,7,7,4,3,2.86,2,6.68,Eastern Oklahoma State,1
18,Madison,Martin,Sophomore,RHP,6,0,0,0,0,0,4.2,7,4,2,1,3,4.5,0,3,Eastern Oklahoma State,1
2,Lillie,Johnson,Freshman,P,25,21,6,9,1,8,106,110,86,61,65,86,5.68,11,4.03,Northeastern Oklahoma A&amp;M,1
8,Kalan,Nye,Freshman,P,23,16,4,8,1,6,90.1,118,88,70,45,64,4.96,13,5.42,Northeastern Oklahoma A&amp;M,1
14,Kayla,Paulo,Sophomore,"P, 1ST",20,12,5,3,0,5,83.2,94,72,43,58,48,4.02,4,3.6,Northeastern Oklahoma A&amp;M,1
7,Halle,Panter,Freshman,P,15,4,1,3,0,2,41.2,51,51,31,30,16,2.69,3,5.21,Northeastern Oklahoma A&amp;M,1
17,Emilee,Evans,Freshman,P,8,2,1,1,0,1,21.1,24,18,7,6,4,1.31,2,2.3,Northeastern Oklahoma A&amp;M,1
20,Skyler,Wade,Freshman,P,3,1,0,0,0,0,7,15,15,11,9,1,1,0,11,Northeastern Oklahoma A&amp;M,1
3,Hadley,Calico,Freshman,UTL,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,Northeastern Oklahoma A&amp;M,1
1,Molly,Dolan,Sophomore,P,28,22,13,9,0,12,126,113,80,60,96,55,3.06,5,3.33,Northern Oklahoma Enid,1
21,Paige,Castillo,Freshman,,15,12,6,5,0,5,68,67,45,34,23,67,6.9,11,3.5,Northern Oklahoma Enid,1
15,Alycyn,Nash,Freshman,,24,6,3,3,1,0,53.2,78,75,60,32,23,3,14,7.83,Northern Oklahoma Enid,1
4,Anna,Hester,Sophomore,,10,8,2,4,0,0,28.2,31,38,27,25,13,3.17,0,6.59,Northern Oklahoma Enid,1
0,McKennah,Cusick,Freshman,P,7,0,1,0,0,0,10,7,10,8,13,10,7,2,5.6,Northern Oklahoma Enid,1
2,Lauren,Bratcher,Sophomore,RHP,33,27,15,12,0,20,167.2,154,135,95,111,216,9.02,17,3.97,Northern Oklahoma Tonkawa,1
10,Emma,Enderud,Sophomore,LHP,28,17,7,8,3,10,118,148,119,89,53,114,6.76,13,5.28,Northern Oklahoma Tonkawa,1
17,Ashlyne,Roblyer,Freshman,RHP,14,6,2,2,0,1,27.2,47,41,32,22,8,2.02,1,8.1,Northern Oklahoma Tonkawa,1
24,Alayna,Long,Freshman,RHP,1,1,0,1,0,0,2.1,4,8,8,3,2,6,1,24,Northern Oklahoma Tonkawa,1
7,Emma,Strange,Sophomore,NA,32,22,15,4,2,10,136,181,95,55,27,77,3.96,9,2.83,Rose State,1
20,Addie,Wilson,Freshman,NA,23,13,7,4,1,5,78,73,48,34,42,79,7.09,10,3.05,Rose State,1
3,Harley,Sturm,Sophomore,NA,16,12,4,3,0,3,62,74,50,41,26,34,3.84,8,4.63,Rose State,1
15,Morgan,Thomas,Freshman,NA,21,4,1,2,3,0,49.1,55,28,17,19,26,3.69,3,2.41,Rose State,1
2,Abby,Turnpaugh,Freshman,NA,9,2,1,2,0,0,15.2,28,20,13,7,6,2.68,2,5.81,Rose State,1
22,Kayla,Richardson,Sophomore,NA,5,0,1,0,0,0,7.2,17,10,7,3,2,1.83,1,6.39,Rose State,1
55,Hailey,Voyles,Sophomore,NA,4,1,0,1,0,0,7.1,11,8,5,3,4,3.82,1,4.77,Rose State,1
18,Hunter,Jonas,Freshman,NA,4,1,0,0,0,0,5.1,12,15,13,5,2,2.63,0,17.06,Rose State,1
30,Allison,Lee,Freshman,NA,2,1,0,1,0,0,0.2,1,6,2,3,0,0,0,21,Rose State,1
1,Britney,Lewinski,Sophomore,P,34,26,20,4,0,18,164,82,35,16,40,226,9.65,8,0.68,Seminole State (OK),1
24,Tess,Eubank,Sophomore,P,22,14,10,1,0,8,84,63,36,24,18,92,7.67,9,2,Seminole State (OK),1
35,Bethaney,Noble,Freshman,P,20,11,7,2,1,5,69.1,48,20,18,23,86,8.68,6,1.82,Seminole State (OK),1
4,Danyn,Lang,Sophomore,UTL,1,0,0,0,0,0,0.1,1,1,1,2,0,0,0,21,Seminole State (OK),1
5,Kaylee,Bradley,Sophomore,NA,33,27,11,11,0,18,154.1,193,141,69,37,100,4.54,0,3.13,Western Oklahoma State,1
19,Whitley,Townsend,Sophomore,NA,16,1,0,5,0,0,41.2,81,63,43,19,15,2.52,0,7.22,Western Oklahoma State,1
16,Teagan,Hays,Sophomore,NA,5,1,0,1,0,0,8.1,24,22,20,4,2,1.68,0,16.8,Western Oklahoma State,1
3,Ryleigh,Pennington,Freshman,NA,1,1,0,0,0,0,1.1,2,5,5,3,0,0,0,26.25,Western Oklahoma State,1
13,Madalyne,Martinez,Sophomore,P/1B,19,15,7,6,0,7,90.1,114,113,66,70,77,5.97,11,5.11,Cisco,1
16,Kayla,Camacho,Sophomore,,18,13,6,0,2,9,77.1,73,51,40,46,97,8.78,8,3.62,Cisco,1
4,"Akaysia ""KK""",Grogan,Freshman,,14,12,5,4,0,8,69,75,51,42,41,79,8.01,9,4.26,Cisco,1
20,Addy,Rich,Sophomore,P/1B,20,8,4,4,0,3,62.1,93,70,42,28,35,3.93,3,4.72,Cisco,1
22,Harley,Staton,Freshman,,12,8,4,3,0,4,40.2,57,48,20,21,33,5.68,5,3.44,Cisco,1
24,Mackenzie,McClellan,Sophomore,1B/P,5,1,1,0,0,1,10.2,25,20,20,5,6,3.94,1,13.13,Cisco,1
10,Sierra,Bittner,Freshman,,2,1,0,2,0,0,5.1,13,10,4,0,2,2.63,3,5.25,Cisco,1
21,Caitlyn,Sanguinet,Freshman,,3,0,0,0,0,0,1,6,8,6,4,0,0,1,42,Cisco,1
15,Zaeli,Jimenez,Freshman,RHP,17,11,1,9,0,4,45,122,129,105,32,18,2.8,7,16.33,Clarendon,1
12,Paola,Zamacona,Sophomore,RHP/OF,12,9,1,6,0,4,39.2,85,126,101,52,34,6,3,17.82,Clarendon,1
23,Anyssa,Chapa,Sophomore,3B,11,5,0,5,0,3,39.1,94,127,92,31,8,1.42,5,16.37,Clarendon,1
22,Alexis,Roberson,Sophomore,RHP/OF,12,5,0,5,0,1,27,92,92,71,17,3,0.78,9,18.41,Clarendon,1
1,Amyiah,Alaniz,Sophomore,RHP/SS,1,0,0,0,0,0,2,8,11,11,4,0,0,1,38.5,Clarendon,1
14,Marissa,Reza,Freshman,OF/P,20,13,3,13,0,6,72.2,181,169,148,73,25,2.41,13,14.26,El Paso,1
4,Isabella,McCauley,Freshman,OF/P,15,8,3,3,0,4,52,73,53,45,35,34,4.58,8,6.06,El Paso,1
12,Sadie,Gordillo,Sophomore,OF/P,10,8,2,5,0,6,46.2,112,87,81,37,18,2.7,19,12.15,El Paso,1
3,Jasmine,Olivas,Freshman,OF/P,8,5,0,5,0,3,29.2,51,64,55,46,16,3.78,4,12.98,El Paso,1
2,Samantha,Ojeda,Sophomore,OF/P,4,4,0,4,0,2,20.2,30,32,29,20,4,1.35,3,9.82,El Paso,1
21,Amber,Poorbaugh,Sophomore,NA,25,21,9,5,1,19,122,166,106,86,33,84,4.82,18,4.93,Frank Phillips,1
15,Kailey,Gull,Freshman,NA,21,16,3,5,1,13,90.1,168,122,109,52,40,3.1,13,8.45,Frank Phillips,1
19,Brenna,Straughan,Freshman,NA,6,5,0,4,0,0,23.1,51,40,36,10,13,3.9,7,10.8,Frank Phillips,1
16,Jordyn,Ages,Sophomore,NA,43,26,27,6,1,15,195,196,96,74,69,191,6.86,22,2.66,Grayson,1
21,Bailey,Ross,Sophomore,NA,38,20,18,1,1,6,135.2,153,86,61,45,69,3.56,12,3.15,Grayson,1
14,Bailey,Kite,Sophomore,NA,16,12,4,2,0,2,31,26,31,26,42,24,5.42,2,5.87,Grayson,1
18,Eileigh,Whyte,Sophomore,P/1B,31,21,9,9,0,17,179.1,215,130,92,26,170,6.64,27,3.59,Hill,1
10,Chloe,Randall,Freshman,P,31,29,1,12,0,5,113.1,189,167,121,70,57,3.52,31,7.47,Hill,1
7,Karolyn,Carter,Freshman,P/CINF,22,2,2,1,0,0,32.1,75,79,48,27,9,1.95,9,10.39,Hill,1
22,Catalina,Sanchez,Freshman,P/3B,23,6,0,3,0,0,31,58,44,35,10,8,1.81,10,7.9,Hill,1
8,Adrianna,Phillips,Freshman,P,34,25,9,11,1,12,120.1,187,167,134,65,65,3.78,26,7.8,Howard (TX),1
20,Reagan,Avants,Freshman,P,17,10,4,6,1,6,73.2,105,74,58,31,39,3.71,17,5.51,Howard (TX),1
2,Emily,Cordova,Freshman,P,13,9,4,1,0,4,48.1,101,83,66,29,17,2.46,13,9.56,Howard (TX),1
6,Rose,Flores,Freshman,Utility,15,3,2,2,0,0,24.2,41,32,20,9,8,2.27,4,5.68,Howard (TX),1
25,Daniela,Mejia,Freshman,IF,6,1,1,0,0,0,11,28,37,28,12,4,2.55,4,17.82,Howard (TX),1
22,Makenzi,Jenkins,Freshman,P/1B,21,17,15,3,1,10,114.2,113,53,51,26,74,4.52,8,3.11,McLennan,1
33,Brinly,Maples,Freshman,P,19,17,11,3,1,7,82.1,93,53,46,28,66,5.61,7,3.91,McLennan,1
20,Katia,Reyes,Freshman,P,17,10,10,4,0,5,76,80,53,32,29,61,5.62,9,2.95,McLennan,1
8,Matalyn,Wolkow,Sophomore,P,26,10,7,1,3,6,63.1,65,30,24,13,16,1.77,6,2.65,McLennan,1
27,Ainsley,Davis,Freshman,P,6,3,1,2,0,1,16,22,15,15,6,11,4.81,2,6.56,McLennan,1
5,Blanca,Sanchez,Freshman,,31,18,16,3,2,9,119,136,89,71,59,81,4.76,7,4.18,Midland,1
10,Rikki,Wilkie,Freshman,,27,16,12,5,0,7,107,134,88,77,45,82,5.36,17,5.04,Midland,1
9,Zoey,De Baca,Sophomore,,26,17,11,4,1,7,77.2,78,58,41,23,49,4.42,11,3.7,Midland,1
14,Samantha,Rodriguez,Sophomore,P,7,2,1,2,0,0,13.1,19,22,19,16,3,1.57,5,9.97,Midland,1
13,Azalea,Ramos,Freshman,,6,2,0,0,0,1,7.2,15,16,15,10,2,1.83,0,13.7,Midland,1
37,Alexis,Tanguma,Sophomore,NA,25,20,8,8,2,7,99,89,63,45,49,53,3.75,0,3.18,North Central Texas,1
21,Maddie,Strickling,Sophomore,NA,25,12,5,6,0,2,68,106,75,47,24,25,2.57,0,4.84,North Central Texas,1
33,Raylea,Parsons,Freshman,NA,18,11,6,5,2,3,54.1,46,35,30,18,41,5.28,0,3.87,North Central Texas,1
23,Annie-Klein,Allgood,Freshman,NA,24,4,7,1,1,1,53,72,49,32,15,23,3.04,0,4.23,North Central Texas,1
12,Kennedy,Schroeder,Freshman,NA,19,7,4,2,1,2,41,62,42,32,18,22,3.76,0,5.46,North Central Texas,1
8,Alliana,Bryant,Freshman,NA,8,0,0,1,0,0,13,15,14,12,13,5,2.69,0,6.46,North Central Texas,1
14,Rayna,Cruickshanks,Sophomore,RHP,31,31,28,2,0,13,150.2,97,42,38,39,194,9.01,8,1.77,Odessa,1
19,Emily,Brouse,Sophomore,RHP,29,22,18,3,2,10,110.2,68,38,30,55,137,8.67,5,1.9,Odessa,1
9,Avery,Truss,Freshman,RHP,21,2,4,0,1,0,41,49,23,19,16,30,5.12,1,3.24,Odessa,1
23,Mia,Perez,Freshman,RHP,13,5,4,1,0,1,36,37,28,22,33,42,8.17,2,4.28,Odessa,1
12,Maya,Mongelli,Sophomore,RHP/C,8,0,0,0,2,0,9.2,4,0,0,1,5,3.62,0,0,Odessa,1
14,Payton,Kadner,Freshman,,23,12,0,14,0,3,58,148,164,120,48,15,1.81,11,14.48,Ranger,1
27,Chelsea,Zizzo,Freshman,P,26,9,0,10,0,3,57.1,133,125,94,19,18,2.2,16,11.48,Ranger,1
28,Sarah,Gonzalez,Freshman,,23,17,0,14,0,0,51,145,142,101,35,19,2.61,13,13.86,Ranger,1
12,Mia,Nemavides,Sophomore,,14,10,0,7,0,2,31.1,60,72,49,33,13,2.9,7,10.95,Ranger,1
18,Annesty,Rainey,Freshman,,11,0,0,0,0,0,15.1,41,39,31,17,4,1.83,0,14.15,Ranger,1
17,Emilee,Till,Sophomore,IF,8,0,0,2,0,0,9,32,26,25,7,3,2.33,5,19.44,Ranger,1
8,Promise,Crews,Freshman,P,11,0,0,0,0,0,4.2,16,17,11,10,3,4.5,3,16.5,Ranger,1
19,Savanah,Petersen,Freshman,IF,5,1,0,1,0,0,4,16,22,21,11,0,0,1,36.75,Ranger,1
24,Lauren,Tetreault,Sophomore,RHP,35,29,16,11,0,9,139.2,132,98,57,48,194,9.72,10,2.86,Temple,1
21,Shaylann,Grace,Sophomore,,29,14,19,3,0,6,129.1,108,71,48,22,139,7.52,18,2.6,Temple,1
10,Audrie,Sayas,Freshman,,33,7,3,3,5,1,66,82,48,42,29,34,3.61,8,4.45,Temple,1
18,Alexis,Belen,Freshman,,17,8,2,0,0,0,18.1,20,19,16,11,14,5.35,1,6.11,Temple,1
5,Aahmyri,Kennedy,Sophomore,OF,1,0,0,0,0,0,5,7,6,3,2,4,5.6,1,4.2,Temple,1
27,Kylee,Pierce,,,5,0,1,0,0,0,4,9,10,7,3,4,7,2,12.25,Temple,1
77,Abbie,Bird,Sophomore,NA,27,25,12,13,0,23,148.2,231,194,158,98,116,5.46,17,7.44,Vernon,1
22,Ryleigh,Ashford,Freshman,NA,21,20,7,13,0,17,97.1,196,131,116,50,36,2.59,18,8.34,Vernon,1
12,Anslie,Roach,Freshman,NA,7,5,2,3,0,4,32,47,34,23,20,2,0.44,5,5.03,Vernon,1
10,Mia,Garcia,Freshman,NA,1,0,0,0,0,0,3.1,8,10,6,7,1,2.1,1,12.6,Vernon,1
9,Mia,Garcia,Sophomore,NA,1,0,0,0,0,0,1,3,4,3,3,1,7,0,21,Vernon,1
19,Amelia,Hatthorn,Sophomore,P,26,1,14,4,1,1,118.1,119,73,60,39,80,4.73,8,3.55,Weatherford,1
11,Averie,Gunther,Sophomore,P/OF,21,0,8,2,0,0,100.1,108,67,44,25,98,6.84,11,3.07,Weatherford,1
32,Teoni,Lamb,Sophomore,P,24,0,12,1,1,0,86,63,37,21,27,96,7.81,1,1.71,Weatherford,1
18,Chloe,Sales,Sophomore,IF/P,15,0,2,1,3,0,31.2,28,26,11,13,29,6.41,0,2.43,Weatherford,1
10,Mikayla,Marrujo,Freshman,P,3,0,0,0,0,0,3.1,6,4,3,4,4,8.4,0,6.3,Weatherford,1
24,Charlee,Horton,Sophomore,C,1,0,0,0,0,0,1,1,1,0,0,2,14,0,0,Weatherford,1
1,Emma,Duncan,Sophomore,P/OF,30,24,17,3,0,19,146.1,90,63,40,60,260,12.44,7,1.91,Western Texas,1
11,Destiny,Sanchez,Freshman,P/1B,19,8,2,3,0,0,52,103,85,53,19,10,1.35,7,7.13,Western Texas,1
10,Alyssa,Hurt,Sophomore,,17,8,1,3,0,1,28.1,67,74,62,28,16,3.95,10,15.32,Western Texas,1
23,Bianca,Gomez,Freshman,P/SS/S/,9,5,0,0,0,1,22.2,38,45,33,22,14,4.32,2,10.19,Western Texas,1
22,Patricia,Murguia,Freshman,OF/P,4,0,0,0,0,0,3,12,10,9,1,2,4.67,2,21,Western Texas,1
21,Emily,Greenfield,Sophomore,P/OF,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,Western Texas,1
21,Jenna,Henderson,Sophomore,,20,18,7,10,0,9,86,110,69,49,42,79,6.43,8,3.99,Barton,1
7,Jessica,Morgan,Sophomore,RHP/UT,19,13,9,3,0,5,75,78,63,35,29,91,8.49,7,3.27,Barton,1
13,Kayla,Beers,Sophomore,RHP,25,9,6,4,0,2,67,75,61,46,35,63,6.58,10,4.81,Barton,1
24,KayLee,Richardson,Freshman,,13,6,4,2,0,2,37.1,39,32,28,18,31,5.81,4,5.25,Barton,1
29,Sydni,Williams,Sophomore,RHP/INF,8,6,4,2,0,3,36,45,28,20,18,24,4.67,5,3.89,Barton,1
15,Julia,Carey,Sophomore,RHP/UT,5,0,0,1,0,0,8.1,12,6,5,3,3,2.52,2,4.2,Barton,1
7,Allyson,Montgomery,Sophomore,RHP,35,33,25,4,1,13,163.2,108,72,51,100,260,11.12,14,2.18,Butler,1
24,Emma,Koeneke,Sophomore,RHP,31,22,16,6,2,5,113.1,115,76,59,54,109,6.73,13,3.64,Butler,1
5,Lena,Walter,Freshman,RHP/INF,22,1,2,1,4,1,42.2,43,35,26,25,29,4.76,8,4.27,Butler,1
34,Ariel,Matula,Sophomore,RHP,19,2,3,0,0,1,34.2,42,24,19,14,30,6.06,6,3.84,Butler,1
21,Cheyenne,Handsaker,Freshman,RHP/OF,4,0,0,1,0,0,2.2,4,3,3,0,3,7.88,1,7.88,Butler,1
34,Abby,Sims,Sophomore,P/OF,35,30,23,7,1,18,167.2,130,88,67,57,207,8.64,17,2.8,Colby,1
20,Alexa,Wade,Sophomore,P/1B,34,22,16,6,0,17,151,168,96,68,73,120,5.56,15,3.15,Colby,1
6,Ellie,Garrie,Freshman,MI/OF,2,1,0,1,0,0,4.1,10,13,11,4,3,4.85,2,17.77,Colby,1
6,K'Lee,Flores,Sophomore,P,36,24,11,15,1,16,149,239,188,156,83,94,4.42,42,7.33,Dodge City,1
11,Dalaney,Utajara,Freshman,P/INF,29,23,8,14,1,8,106.2,201,145,121,49,33,2.17,20,7.94,Dodge City,1
13,Camryn,Lenz,Freshman,OF,10,2,0,1,0,0,18,27,25,24,11,6,2.33,3,9.33,Dodge City,1
24,Alicyn,O'Neill,Sophomore,P/OF,1,0,0,0,0,0,2,4,3,3,2,1,3.5,0,10.5,Dodge City,1
4,Raemie,Lopp,Sophomore,P,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,Dodge City,1
18,CJ,Sherman,Freshman,P,34,15,7,4,0,2,77.1,135,151,84,62,37,3.35,15,7.6,Garden City,1
10,Tori,Olson,Freshman,P/OF,21,8,4,8,0,4,69.2,98,99,64,44,47,4.72,19,6.43,Garden City,1
2,Alexis,Garcia,Sophomore,P/OF,24,16,5,11,0,3,63.1,114,117,87,50,35,3.87,12,9.62,Garden City,1
15,Maggie,Geise,Freshman,P,24,3,2,1,0,1,39,85,56,40,17,20,3.59,8,7.18,Garden City,1
12,Lacey,Kearlsey,Sophomore,P/1B,10,9,3,6,0,1,31,54,45,29,11,22,4.97,6,6.55,Garden City,1
12,Morgan,Pennycuff,Sophomore,P,24,23,17,4,0,4,87.1,74,45,41,30,81,6.49,11,3.29,Hutchinson,1
19,Riley,Wertz,Sophomore,P,35,0,3,1,8,0,67.1,41,23,16,30,117,12.16,7,1.66,Hutchinson,1
3,Emily,Munson,Sophomore,P,19,16,7,1,1,1,54.2,64,34,30,16,34,4.35,0,3.84,Hutchinson,1
13,Kierstan,Weitze,Sophomore,P,19,4,10,1,0,0,40,46,23,15,11,43,7.52,3,2.63,Hutchinson,1
21,Korri,Lies,Freshman,,11,2,3,1,0,1,30.1,23,15,10,11,20,4.62,4,2.31,Hutchinson,1
11,Delaney,Blakesley,Freshman,P,13,7,4,0,0,0,28.1,23,10,10,4,22,5.44,2,2.47,Hutchinson,1
14,Cheylene,Valdez-Asato,Freshman,IF,27,19,0,8,0,10,96.1,283,328,239,130,40,2.91,23,17.37,Northwest Kansas Tech,1
19,Faith,Sandoval,Freshman,P,22,13,0,10,0,7,59.2,202,220,155,44,19,2.23,17,18.18,Northwest Kansas Tech,1
10,Valadean,Jones,Freshman,OF,5,2,0,1,0,0,5.1,13,21,17,10,5,6.56,1,22.31,Northwest Kansas Tech,1
13,Bryanna,Gallagher,Sophomore,P,28,13,0,6,0,3,78,143,166,109,88,28,2.51,12,9.78,Pratt,1
21,Brylee,Ray,Freshman,,24,4,0,3,0,0,36.2,95,94,67,25,11,2.1,9,12.79,Pratt,1
27,Macie,McCray,Sophomore,P,16,2,0,3,0,0,35,96,109,78,38,12,2.4,10,15.6,Pratt,1
7,Lauren,Galliher,Freshman,,19,9,1,6,0,0,34.2,110,123,92,37,14,2.83,12,18.58,Pratt,1
11,Aspen,DeFrain,Freshman,,14,6,0,2,0,2,33.2,72,77,57,36,15,3.12,8,11.85,Pratt,1
14,Naveya,Gardner,Freshman,,2,0,0,0,0,0,1.1,8,7,0,2,0,0,0,0,Pratt,1
10,NaTalia,Sewell,Freshman,,28,15,9,9,0,8,120.1,147,105,74,50,120,6.98,14,4.3,Seward County,1
4,Aaliyah,Gutierrez,Freshman,,28,16,4,14,0,5,102,176,150,95,44,51,3.5,19,6.52,Seward County,1
11,Corina,McClure,Freshman,,22,11,6,8,0,2,50,99,110,71,41,39,5.46,6,9.94,Seward County,1
3,Ashanti,Thompson,Sophomore,P/OF,17,2,1,2,0,1,30,50,54,32,25,19,4.43,3,7.47,Seward County,1
9,Alyson,Smith,Sophomore,P,21,15,13,3,1,9,98.2,97,56,38,27,83,5.89,10,2.7,Chattanooga State,1
28,Madison,Murphy,Freshman,P,21,18,14,5,0,9,98.1,77,60,43,49,94,6.69,18,3.06,Chattanooga State,1
23,Jessica,Cord,Freshman,P,13,11,7,2,0,6,52.1,56,44,34,24,36,4.82,7,4.55,Chattanooga State,1
27,Taylor,Gajdik,Freshman,P,12,6,5,1,1,4,45,44,26,22,12,44,6.84,10,3.42,Chattanooga State,1
4,Olivia,Smith,Sophomore,P,15,4,5,1,1,2,44.2,39,23,21,6,26,4.07,8,3.29,Chattanooga State,1
7,Rayne,Gray,Sophomore,P,8,4,2,0,0,0,21.2,29,21,12,10,12,3.88,2,3.88,Chattanooga State,1
16,Hadley,Burnette,Sophomore,P/OF,26,22,16,7,0,20,145,182,115,98,54,124,5.99,29,4.73,Cleveland State,1
35,Bailee,Phillips,Sophomore,P/U,24,23,13,10,1,16,139.1,161,98,90,49,106,5.33,24,4.52,Cleveland State,1
11,Kylie,Hayes,Freshman,P/OF,7,3,3,0,0,2,25.2,40,23,23,11,13,3.55,6,6.27,Cleveland State,1
4,Emily,Higgins,Sophomore,P/IF,1,1,0,1,0,0,3,7,4,4,0,2,4.67,2,9.33,Cleveland State,1
4,Samantha,Staggs,Freshman,"P, IF",25,15,2,9,0,5,90,150,157,115,79,69,5.37,25,8.94,Columbia State,1
1,Kyia,Quigle,Sophomore,"P, 2B",21,18,0,13,0,7,88.1,148,154,123,57,35,2.77,22,9.75,Columbia State,1
13,Steffani,Schrader,Sophomore,"P, OF",17,16,1,9,0,4,70,136,116,89,29,43,4.3,10,8.9,Columbia State,1
14,Tori,Spears,Freshman,"P, 1B",18,2,0,1,0,1,32.2,69,60,43,25,13,2.79,4,9.21,Columbia State,1
5,Timber,Creasy,Freshman,"2B,P",9,1,0,1,0,0,16.2,44,43,23,5,4,1.68,8,9.66,Columbia State,1
9,Jaylee,Lopez,Freshman,OF,1,0,0,0,0,0,0.1,3,4,3,0,0,0,1,63,Columbia State,1
33,Payton,Reasons,Sophomore,P,27,23,18,7,1,4,147.1,144,80,59,44,147,6.98,17,2.8,Dyersburg State,1
